"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05152","Tuberculosis",152,0.446993295931739,1.62654599968207,0.000669246609749951,0.00492827780904068,0.00341371935350972,2706,"tags=32%, list=17%, signal=26%","IL1B/IL12B/IL1A/CLEC4E/CR1L/IL23A/IL6/CYP27B1/NOD2/LBP/IRAK2/HLA-DOB/TLR2/KSR1/CD14/CAMK2A/STAT1/IL10RA/IL18/NFKB1/RIPK2/TNF/AKT3/FCGR2B/PPP3CC/RELA/FCGR2A/MAPK11/IFNGR2/CASP10/RFX5/TRADD/JAK2/SRC/C3/FCGR3B/FCGR3A/JAK1/CD209/CASP3/SPHK1/VDR/BID/IRAK4/CASP8/TNFRSF1A/IFNGR1/FCER1G"
"hsa05163","Human cytomegalovirus infection",192,0.425015549048387,1.59024206603209,0.000679762456419404,0.00492827780904068,0.00341371935350972,2254,"tags=26%, list=14%, signal=23%","IL1B/CCL5/CXCL8/CCL4/PLCB4/PTGS2/CCL4L2/CCL3L1/VEGFA/IL6/CCL3/NFKBIA/CCL2/PTGER2/HLA-F/TAP1/IL10RA/NFKB1/CGAS/TAP2/TNF/FAS/PTGER4/TRAF5/AKT3/HLA-A/HLA-G/PPP3CC/RELA/ITPR3/TBK1/MAPK11/CXCL12/ITGAV/HLA-E/B2M/STAT3/HLA-C/TRADD/HLA-B/STING1/ADCY4/SRC/GNA12/ARHGEF11/JAK1/TRAF2/CASP3/TAPBP/RIPK1"
"hsa04964","Proximal tubule bicarbonate reclamation",13,-0.761000020926627,-1.85804370565875,0.000840556078365656,0.00596966357696425,0.00413506642203513,2544,"tags=62%, list=16%, signal=52%","SLC9A3/GLUD2/ATP1A1/MDH1/SLC25A10/ATP1B4/ATP1B1/CA2"
"hsa04978","Mineral absorption",45,0.578326268099741,1.74178789743266,0.00100053725459173,0.00696373929195842,0.00482364276424222,410,"tags=24%, list=3%, signal=24%","MT1M/MT1A/MT1H/MT1G/MT1B/MT2A/SLC8A3/MT1F/MT1X/MT1E/SLC26A9"
"hsa03008","Ribosome biogenesis in eukaryotes",75,-0.455659930981099,-1.71060473137988,0.00108643749508047,0.00741333820172553,0.00513507092618012,4946,"tags=71%, list=32%, signal=48%","NXT1/GNL2/RRP7A/REXO5/RPP38/IMP4/PWP2/NOP56/AFG2A/UTP14A/POP7/UTP6/BMS1/CSNK2B/WDR75/UTP18/AK6/LOC102724159/FCF1/REXO2/EMG1/TBL3/NOP58/POP1/NVL/LSG1/NOB1/NMD3/RAN/NXF3/RIOK1/DKC1/NAT10/GNL3L/WDR43/RBM28/GNL3/UTP4/MDN1/NOP10/SNU13/GAR1/POP5/WDR3/WDR36/UTP15/NOL6/FBL/RPP25/NHP2/HEATR1/RPP40/RCL1"
"hsa04610","Complement and coagulation cascades",53,0.553232360866847,1.71670509608737,0.00113058576695316,0.00756622782499426,0.00524097450672621,2518,"tags=47%, list=16%, signal=40%","CFB/SERPINB2/CR1L/VTN/SERPING1/C1S/SERPINA1/CLU/C1QB/C4B/C1R/PROCR/C1QA/C1QC/CD55/C3AR1/F5/C2/CFH/C3/PLAUR/C4A/PLAT/C5/TFPI"
"hsa04640","Hematopoietic cell lineage",73,0.523762740773369,1.71766255322438,0.0012472148349937,0.00818925967127941,0.00567253619093462,1337,"tags=32%, list=9%, signal=29%","IL2RA/IL1B/CD38/IL7R/IL1A/CR1L/IL7/IL3RA/ITGA1/IL6/CSF3/HLA-DOB/CD14/CSF2RA/TNF/CD44/FLT3/ANPEP/MS4A1/CD7/GP1BA/CD19/CD55"
"hsa05321","Inflammatory bowel disease",49,0.582041825434155,1.77666845056221,0.00135027290846125,0.00839098164543777,0.00581226496311328,1535,"tags=35%, list=10%, signal=31%","IL1B/IL12B/STAT4/IL1A/IL23A/IL6/NOD2/HLA-DOB/TLR2/STAT1/IL18/NFKB1/IL12RB1/TNF/RELA/IFNGR2/STAT3"
"hsa03250","Viral life cycle - HIV-1",63,0.540626404874504,1.72552656538544,0.00133364988294638,0.00839098164543777,0.00581226496311328,842,"tags=16%, list=5%, signal=15%","APOBEC3A/MX1/MX2/APOBEC3H/APOBEC3D/APOBEC3B/APOBEC3F/APOBEC3G/BST2/TRIM5"
"hsa04080","Neuroactive ligand-receptor interaction",131,0.445482282244007,1.59561915543125,0.00133367486955979,0.00839098164543777,0.00581226496311328,2661,"tags=42%, list=17%, signal=35%","ADORA2A/FPR2/PTGDR/PTGIR/ADRB1/RXFP1/EDN1/ADM/INSL3/AGTR1/FPR1/LPAR3/PTGER2/PRL/PRLR/CYSLTR2/PTAFR/CALCRL/CHRNA6/CHRNB2/GRIN2D/PTGER4/SSTR2/P2RY6/GRIN3A/S1PR1/P2RY10/GABBR1/ADM2/P2RY13/GRIK1/VGF/C3AR1/DRD4/CHRNA10/CHRNB1/HCRTR1/HRH2/FPR3/CHRNA7/C3/CHRFAM7A/HTR7/LPAR1/CHRM3/GLRA1/RXFP4/HTR2B/NR3C1/GABRR2/C5/OGFR/HTR6/EDNRB/MC1R"
