"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","35/988","107/6222",0.327102803738318,2.05995308184192,4.8047634800113,1.05764788360484e-05,0.000121447153531177,9.71270107266878e-05,"CDH5/CD226/CLDN7/CLDN23/VCAN/NFASC/NECTIN3/CD274/HLA-A/HLA-B/HLA-C/HLA-DOB/HLA-E/HLA-F/HLA-G/ICAM1/ITGAV/ITGB8/L1CAM/NEO1/NRCAM/NLGN2/PTPRF/PVR/NECTIN2/SELL/VSIR/SIGLEC1/PDCD1LG2/NTNG2/CNTNAP1/CD80/CD86/CD40/CD58",35
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","38/988","122/6222",0.311475409836066,1.96153846153846,4.65986540055366,1.61133237310941e-05,0.000178857893415144,0.000143041084349712,"AKT3/IRF9/CLDN7/CLDN23/RIGI/TBK1/IFIT1/IFNAR1/IFNAR2/FAS/CXCL10/IRF7/JAK1/MX1/MX2/NFKB1/NFKBIA/OAS1/OAS2/OAS3/EIF2AK2/RELA/BID/STAT1/STAT2/STAT3/TLR3/TNF/TNFRSF1A/TRAF2/CASP3/CASP8/TRADD/RIPK1/CFLAR/SOCS3/RSAD2/IKBKE",38
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","21/988","53/6222",0.39622641509434,2.49526392177832,4.74941498460668,2.58107581885435e-05,0.00026867236697921,0.000214869950516011,"PROCR/CLU/CR1L/CD55/CFH/SERPINB2/SERPINA1/PLAUR/CFB/TFPI/SERPING1/C1QA/C1QB/C1QC/C1R/C1S/C2/C3/C3AR1/C4B/VTN",21
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","14/988","28/6222",0.5,3.14878542510121,4.95083187671503,2.64848010342553e-05,0.00026867236697921,0.000214869950516011,"HLA-A/HLA-B/HLA-C/HLA-DOB/HLA-E/HLA-F/HLA-G/FAS/IL1A/IL1B/IL6/TNF/CD80/CD86",14
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","27/988","77/6222",0.350649350649351,2.20823912929176,4.63477898589364,2.66739147515808e-05,0.00026867236697921,0.000214869950516011,"TNFSF13B/CTSL/CXCL1/CXCL2/CXCL3/HLA-DOB/ICAM1/IL1A/IL1B/IL6/CXCL8/IL15/IL18/IL23A/CCL2/CCL3/CCL3L1/CCL5/CCL20/CXCL6/CXCL5/CXCL12/TLR2/TNF/VEGFA/CD80/CD86",27
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","26/988","73/6222",0.356164383561644,2.24297043979813,4.64100138224607,2.74320134453247e-05,0.00026867236697921,0.000214869950516011,"CR1L/CSF2RA/CSF3/CD55/FLT3/FLT3LG/GP1BA/ANPEP/HLA-DOB/IL1A/IL1B/IL2RA/IL3RA/IL4R/IL6/IL7/IL7R/ITGA1/TNF/CD5/CD7/CD14/CD19/MS4A1/CD38/CD44",26
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","27/988","78/6222",0.346153846153846,2.17992837122392,4.5558462112392,3.4741253228859e-05,0.000330538209291716,0.000264346979455679,"JAG1/DLL1/HLA-DOB/IFNGR2/IL2RA/IL2RB/IL4R/IL12B/IL12RB1/JAG2/JAK1/JAK2/JAK3/NFKB1/NFKBIA/NFKBIB/NFKBIE/DLL4/PPP3CC/MAPK11/RELA/STAT1/STAT4/ZAP70/RUNX3/CD247/MAML1",27
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","8/988","11/6222",0.727272727272727,4.58005152741995,5.16293395146203,4.14320619129535e-05,0.00038324657269482,0.000306500341051966,"PLA2G4B/PLAAT3/CYP2E1/CYP2J2/PLAAT2/PLA2G6/PLA2G4C/JMJD7-PLA2G4B",8
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","30/988","92/6222",0.326086956521739,2.05355571202253,4.42295882390412,4.78064871912267e-05,0.00043025838472104,0.000344097902116084,"EBI3/AHR/IL27/HIF1A/HLA-DOB/IFNGR2/IL1B/IL2RA/IL2RB/IL4R/IL6/IL6ST/IL12RB1/IRF4/JAK1/JAK2/JAK3/NFKB1/NFKBIA/NFKBIB/NFKBIE/IL23A/PPP3CC/MAPK11/RELA/STAT1/STAT3/ZAP70/RUNX1/CD247",30
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","37/988","124/6222",0.298387096774194,1.87911388272169,4.29589823381788,5.89848523504439e-05,0.00051689357454468,0.000413384145281504,"AKT3/LILRB2/IRF9/LILRB1/LILRB4/LILRA1/CYLD/FCGR2A/FCGR2B/FCGR3A/FCGR3B/FOSL2/IFNAR1/IFNAR2/IFNGR2/LILRA5/IL1A/IL1B/ITPR3/JAK1/JUNB/NFKB1/NFKB2/NFKBIA/PPP3CC/MAPK11/RELA/RELB/NCF1/STAT1/STAT2/TNF/TNFRSF1A/TRAF2/SOCS1/SOCS3/GAB2",37
