"SYMBOL","LPS_logFC","LPS_adjP","LPS_regulation","Sepsis_logFC","Sepsis_adjP","Sepsis_regulation","LPS_sig","Sepsis_sig","both_sig","same_direction","overlap_class"
"ITGA6",-2.2665771651335,0.00295797572089089,"Down",-0.942990865775429,2.13961689899742e-14,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"KIF21A",-2.2756415603687,0.00295915494546399,"Down",-1.10390207520635,6.21325416875648e-13,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"NARF",1.10282579543314,0.00297046938254669,"Up",0.877296623322579,2.24880087136624e-21,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"TMC6",-1.54449614494208,0.00297522736122863,"Down",-0.507208771640416,2.08847685788762e-13,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"OLIG2",4.32964558272065,0.00298239427665127,"Up",-1.63578937280831,9.15102798057960e-11,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"AURKB",-2.6872019528921,0.00298257370600873,"Down",0.850156681064982,1.02123612613747e-10,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"ABHD14B",-1.19053033701553,0.00298863201769894,"Down",-0.551113557429013,5.44064673889923e-12,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"ABCB1",-3.19186775203047,0.00301132334141027,"Down",-1.39722217612685,1.56674515843347e-19,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"CYB5RL",-1.33844875693353,0.00301132334141027,"Down",-0.813653363648064,6.5774798262796e-13,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"CGAS",2.83057063519676,0.00301586205855823,"Up",0.824954204857927,9.56081801513052e-19,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"VMP1",1.11261537794454,0.00303016287484281,"Up",0.58761974020643,1.00875217590924e-10,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
