"SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulation"
"TOM1L2",-0.350187860358578,12.8679603117589,-6.90249137231337,1.30111099664835e-09,5.35130316312663e-09,11.3508880965572,"Not significant"
"MRPS27",-0.388825969242132,12.1521464117098,-6.90082183915349,1.31056915206425e-09,5.38904912785647e-09,11.343743831331,"Not significant"
"COQ10B",0.396751704380899,12.2736794738569,6.9003307155517,1.31336442029302e-09,5.39938706120464e-09,11.3416422903575,"Not significant"
"ADD2",-0.67554222972685,9.62997686607903,-6.90021244455119,1.31403845334066e-09,5.40100180211915e-09,11.341136208273,"Down"
"PCNX1",0.444516872232778,14.9830635085056,6.89878379428541,1.3222076097007e-09,5.43341594887279e-09,11.3350231640714,"Not significant"
"MOK",-0.608000879251057,7.60159709573607,-6.89618204576183,1.3372144702736e-09,5.49390874468634e-09,11.3238912967704,"Down"
"SLC30A5",-0.26388070074444,12.0980486347219,-6.89555189162003,1.34087457447784e-09,5.50776779758246e-09,11.3211952570117,"Not significant"
"PABPN1",0.247194429159134,14.3090193102907,6.89433216343977,1.34798738151262e-09,5.535800189732e-09,11.3159769544357,"Not significant"
"CR1L",0.912027989874152,7.37245655335115,6.89410498921944,1.3493162756254e-09,5.54007279042859e-09,11.3150050695247,"Up"
"HS1BP3",0.351568693504621,13.154596651404,6.89241645221704,1.35923453113939e-09,5.57960254413634e-09,11.3077814878663,"Not significant"
"SH2D1A",-0.984386599833489,11.0932790458125,-6.89146944355781,1.36482880698109e-09,5.6013694337375e-09,11.3037303504888,"Down"
"ATXN7L2",-0.417194489131704,10.0343159048405,-6.8906246989128,1.36983827546945e-09,5.6207274367179e-09,11.3001167881543,"Not significant"
"PRICKLE2",-0.454175091934802,4.89171957639574,-6.88744941470023,1.38883211730772e-09,5.69744566303358e-09,11.2865347892799,"Not significant"
"ANKRD37",0.531332329881623,8.71699115721199,6.88608303770431,1.39708577787355e-09,5.73008077584488e-09,11.2806906736445,"Up"
"FNDC3B",0.585225395204376,13.7602938873865,6.88586917392732,1.39838203416988e-09,5.73417258214056e-09,11.2797759833818,"Up"
"TPH1",-0.525223808465048,6.35409730430427,-6.8848428693158,1.40461924341577e-09,5.75851907158689e-09,11.2753865938533,"Down"
"ANXA7",0.294406108406614,14.1325086457755,6.88399925343743,1.40976687835058e-09,5.77838919209523e-09,11.2717786560635,"Not significant"
"KCNH8",-0.878871721990561,7.11462970105583,-6.88326534472838,1.4142603345162e-09,5.79557003920498e-09,11.2686399915305,"Down"
"C12ORF74",-0.421146294605385,4.77182235942612,-6.88206539019419,1.42163788748892e-09,5.82455992179427e-09,11.2635083818013,"Not significant"
"BFAR",0.172566552509946,12.4212585338341,6.8814153343108,1.42565050895353e-09,5.83975399390673e-09,11.2607285015269,"Not significant"
"GNAI2",0.435152257743432,17.9617230263821,6.87814325136603,1.44601968090447e-09,5.92192704892483e-09,11.2467367786806,"Not significant"
"TFEB",0.488208785975175,14.4495832167731,6.87771260091463,1.44872197864165e-09,5.93172881787964e-09,11.2448953926135,"Not significant"
"ARMC5",-0.312332776056044,10.992794339387,-6.87592728123625,1.45997832657731e-09,5.97654312625539e-09,11.2372619614943,"Not significant"
"AC026470.1",0.399202884960459,14.8986133881222,6.87522891996211,1.46440505872833e-09,5.9933866885678e-09,11.2342761262715,"Not significant"
"FBXL15",0.416802706930773,12.0529175974296,6.87471472885377,1.46767290336039e-09,6.00548109167474e-09,11.2320777531666,"Not significant"
"ZNF576",0.275118338767392,10.0119249233052,6.87190909330564,1.48563159772263e-09,6.07767012591982e-09,11.2200832063086,"Not significant"
"WDR26",0.335415225482045,15.1737527991726,6.87158956192195,1.48769069278709e-09,6.08479752366145e-09,11.2187172297049,"Not significant"
"TRMT13",-0.607927908035982,10.7669668322112,-6.86995542442306,1.49826565645255e-09,6.12560811001259e-09,11.2117316245241,"Down"
"MMUT",0.343072201036778,11.5181342536368,6.86994912253541,1.49830658192622e-09,6.12560811001259e-09,11.2117046859823,"Not significant"
"SLA2",-0.520663858099811,12.4152100963418,-6.8686865001048,1.50652869386988e-09,6.15791198560735e-09,11.2063074969752,"Down"
"RAB21",0.358253322077297,13.7907230811606,6.86822284494118,1.50955922224016e-09,6.16898611293418e-09,11.2043256205548,"Not significant"
"LILRA2",0.541823468833454,15.7561993200727,6.86796930053822,1.51121899142652e-09,6.17445495582202e-09,11.2032418677445,"Up"
"KCTD15",-0.554199896127187,10.6952096664578,-6.8663550972214,1.52182858521822e-09,6.21648039181994e-09,11.196342318235,"Down"
"PEX11G",1.0318426165197,7.98341918401387,6.86568248196301,1.52627125674379e-09,6.23330219975564e-09,11.1934674865696,"Up"
