"SYMBOL","LPS_logFC","LPS_adjP","LPS_regulation","Sepsis_logFC","Sepsis_adjP","Sepsis_regulation","LPS_sig","Sepsis_sig","both_sig","same_direction","overlap_class"
"FLACC1",0.362453939736798,0.42226099387357,"Not significant",-0.0383591746202224,0.702934177189985,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"FRMD8",-0.132579337678471,0.422269879908866,"Not significant",-0.064364817767144,0.0947400969495532,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"LTBP1",0.283634579138751,0.422400567902972,"Not significant",0.165543791294446,0.306401760358521,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"SCOC",-0.129941371696991,0.422411867866474,"Not significant",0.113956656344594,0.37859313628564,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"MAGIX",0.279976861954085,0.422470293426659,"Not significant",0.592818487659302,6.48983469010592e-12,"Up",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"ZDHHC16",-0.160752124430893,0.422514585170285,"Not significant",0.0538561597363192,0.230363552521714,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"SMIM26",0.150142366877933,0.422514585170285,"Not significant",0.779533857597702,5.2643135871772e-16,"Up",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"SH3D19",0.423190419882255,0.422564624647759,"Not significant",0.716795006740089,2.03883975844198e-05,"Up",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"COPS2",0.141476564694942,0.42259260361868,"Not significant",0.436505854055016,6.18278806064324e-05,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"RNGTT",-0.150367008866119,0.422728963334169,"Not significant",-0.05599848773665,0.455254518723143,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"JMJD1C",0.233090132898293,0.422728963334169,"Not significant",-0.334365543408126,5.07945889253606e-05,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
