"SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulation"
"PFKFB3",1.64209814532139,15.128648892177,11.8524223988037,5.34025860996529e-19,1.37465128803168e-17,32.7882615736535,"Up"
"INPP5E",-0.739111939595698,10.8665957615808,-11.8496534380235,5.40286699995455e-19,1.38890568942607e-17,32.7766796856056,"Down"
"PIEZO1",-0.850504755285128,14.0464678939671,-11.8474165895093,5.45398283071349e-19,1.39965598609892e-17,32.767322879972,"Down"
"CD96",-1.21681380481361,12.7434318050436,-11.8471867168279,5.45926331087898e-19,1.39965598609892e-17,32.7663612844671,"Down"
"CELSR2",-1.16547590678842,8.42222569958709,-11.8439530493944,5.53409242230099e-19,1.41422147814801e-17,32.7528337046134,"Down"
"PLIN5",1.4559882458605,13.0749068724688,11.8436324664565,5.54156691324271e-19,1.41422147814801e-17,32.7514925298908,"Up"
"PLEKHG4",-1.24339379773283,9.66713589807044,-11.8436075521353,5.542148223591e-19,1.41422147814801e-17,32.7513882991129,"Down"
"RIC8B",-0.685517699687829,10.2291092320929,-11.8434625207046,5.54553337002268e-19,1.41422147814801e-17,32.7507815487913,"Down"
"LRRC36",-0.611122600560881,4.81007106285936,-11.8420150049517,5.57943372600657e-19,1.42097965305708e-17,32.7447256273638,"Down"
"RETN",2.9519399972662,12.6513658221862,11.8360980667602,5.72018863254474e-19,1.45398380545591e-17,32.719968754141,"Up"
"CDAN1",-0.612151571692157,11.1189362467366,-11.8359329709514,5.72416683291501e-19,1.45398380545591e-17,32.7192779270887,"Down"
"SORT1",1.42335734535843,14.1818423769631,11.834270817998,5.76437401639285e-19,1.46226253945564e-17,32.7123226467068,"Up"
"SRI",0.7173559161721,12.9922611887605,11.8331444757929,5.79178143761937e-19,1.4672767671056e-17,32.7076092951397,"Up"
"OLFM2",-1.0412865170691,10.0864651372441,-11.8302353363963,5.8631780856543e-19,1.48166067284149e-17,32.6954349139231,"Down"
"ASPH",1.53202596920842,12.9974801774432,11.8302024358231,5.86399058146919e-19,1.48166067284149e-17,32.695297223888,"Up"
"PTGR1",1.64798667495563,7.19242079436157,11.8279179804333,5.92068423702611e-19,1.49401970306981e-17,32.6857364099821,"Up"
"ZNF696",-0.682195049405773,10.1560006246006,-11.8265744633823,5.95428370399953e-19,1.50023496126536e-17,32.6801133084276,"Down"
"FUT7",1.34067616574363,14.1117058998731,11.8263092152165,5.96093982943015e-19,1.50023496126536e-17,32.6790031262546,"Up"
"CRY2",-0.548636951268884,12.1410274015142,-11.8219935930089,6.07029373815655e-19,1.52575720751074e-17,32.6609392384959,"Down"
"ANO10",1.09000107385063,12.2316489910197,11.821397387651,6.08555889786334e-19,1.52736626244239e-17,32.658443543581,"Up"
"IFNGR2",0.887218184197381,15.9019033939156,11.8211227755162,6.09260301531464e-19,1.52736626244239e-17,32.6572940136776,"Up"
"LAMTOR5",1.23639484394718,13.4280402852331,11.8196220754909,6.13124286643857e-19,1.53504897997679e-17,32.6510119188607,"Up"
"H2AFZ",0.849283474351221,14.4302244382648,11.8174142759303,6.18853769632512e-19,1.54737616383504e-17,32.641769381287,"Up"
"TNFSF10",0.83758858228431,15.3098101316347,11.8146301194376,6.26155828362663e-19,1.56359822783462e-17,32.6301132759995,"Up"
"NDUFA2",0.720516705054683,12.4511594752055,11.8106989338962,6.36614088953126e-19,1.5861379029217e-17,32.6136535983227,"Up"
"SUCLG1",0.591227654873267,13.0474563619484,11.810616971539,6.36833996330067e-19,1.5861379029217e-17,32.613310408102,"Up"
