"ensembl_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","gene_label","regulation"
"ENSG00000259760",-4.47950391463338,0.653026603867027,-9.84468789836972,3.92560424536833e-05,0.000693800273923277,2.93503322934969,NA,NA,NA,"ENSG00000259760","Down"
"ENSG00000183722",2.1097894849596,1.5272336559198,9.84464253414984,3.92571492741753e-05,0.000693800273923277,2.85705541401073,"LHFPL6","10186","LHFPL tetraspan subfamily member 6","LHFPL6","Up"
"ENSG00000122557",1.33462282258524,4.84510482487175,9.83846154467587,3.9408291153344e-05,0.00069581992097228,2.51140679073421,"HERPUD2","64224","HERPUD family member 2","HERPUD2","Up"
"ENSG00000141753",4.52593134624814,5.40780313055294,9.83126533637232,3.95850983219754e-05,0.000697677784499234,2.5665202182278,"IGFBP4","3487","insulin like growth factor binding protein 4","IGFBP4","Up"
"ENSG00000124256",7.75264594776207,-0.161490115196157,9.82999997172789,3.96162815301954e-05,0.000697677784499234,2.89902767307898,"ZBP1","81030","Z-DNA binding protein 1","ZBP1","Up"
"ENSG00000214517",-1.27273619678459,4.60313182261302,-9.82927570287998,3.96341428222492e-05,0.000697677784499234,2.52853008313445,"PPME1","51400","protein phosphatase methylesterase 1","PPME1","Down"
"ENSG00000077782",-1.95044288918637,5.30131099008665,-9.82817257580331,3.96613649148439e-05,0.000697677784499234,2.51802677869496,"FGFR1","2260","fibroblast growth factor receptor 1","FGFR1","Down"
"ENSG00000152804",-2.6438001341458,2.15297853624681,-9.81730033829606,3.99308101541171e-05,0.000701763539719702,2.81130682990386,"HHEX","3087","hematopoietically expressed homeobox","HHEX","Down"
"ENSG00000185104",-1.34475445394319,4.01214980347454,-9.81493731933345,3.99896495602155e-05,0.000702143846929365,2.56202185528384,"FAF1","11124","Fas associated factor 1","FAF1","Down"
"ENSG00000137038",-1.51387811835319,3.08189418634041,-9.80646175303603,4.02015104079087e-05,0.000705207722071819,2.66388613272962,"DMAC1","90871","distal membrane arm assembly component 1","DMAC1","Down"
"ENSG00000159784",-2.86453244056209,1.44898356061124,-9.80495888527831,4.02392111257387e-05,0.000705213658308559,2.860489020675,"FAM131B","9715","family with sequence similarity 131 member B","FAM131B","Down"
"ENSG00000187260",4.22292086123426,-0.338355074864591,9.8025269219447,4.03003048176146e-05,0.000705627462522776,2.90826255782391,"WDR86","349136","WD repeat domain 86","WDR86","Up"
"ENSG00000182117",-1.17442894545483,5.19974194466595,-9.80104473681632,4.03375911026265e-05,0.000705627462522776,2.48698251730901,"NOP10","55505","NOP10 ribonucleoprotein","NOP10","Down"
"ENSG00000281348",-5.81104945395598,-3.10163442305068,-9.79693668496196,4.04411411611486e-05,0.000706783832793222,2.16194087035785,NA,NA,NA,"ENSG00000281348","Down"
"ENSG00000105339",2.02946419200193,5.52707697739835,9.79451994672485,4.05022011701562e-05,0.000707196158267066,2.47700660457791,"DENND3","22898","DENN domain containing 3","DENND3","Up"
"ENSG00000285006",-5.03559171519167,1.26567324144766,-9.79300364955176,4.05405650269315e-05,0.000707211797489216,2.90578727233239,NA,NA,NA,"ENSG00000285006","Down"
"ENSG00000204519",-1.84041726082033,1.84918209451917,-9.79132087742801,4.0583189603806e-05,0.00070730166553263,2.80171245481112,"ZNF551","90233","zinc finger protein 551","ZNF551","Down"
"ENSG00000064652",-2.22594435800071,3.08239977907453,-9.78591535197942,4.07204591070018e-05,0.000709039359450793,2.67848377398432,"SNX24","28966","sorting nexin 24","SNX24","Down"
"ENSG00000204791",6.36872834130755,-0.334388349492442,9.7832705349178,4.07878160731247e-05,0.000709108429708292,2.72326721928148,NA,NA,NA,"ENSG00000204791","Up"
"ENSG00000166289",-2.02631018534598,1.51384699534845,-9.78280978983923,4.07995631609645e-05,0.000709108429708292,2.82702011316559,"PLEKHF1","79156","pleckstrin homology and FYVE domain containing 1","PLEKHF1","Down"
"ENSG00000170390",-4.71414216176624,0.65411209277575,-9.78091316064999,4.08479601598302e-05,0.0007092964563172,2.89265571852218,"DCLK2","166614","doublecortin like kinase 2","DCLK2","Down"
"ENSG00000123427",1.41369285031434,4.22454598705331,9.76512836158411,4.12533076058161e-05,0.000713401987819307,2.49480800719942,"EEF1AKMT3","25895","EEF1A lysine methyltransferase 3","EEF1AKMT3","Up"
"ENSG00000214026",-1.33069992254316,3.72235311282027,-9.7628903412392,4.13111511649817e-05,0.000713401987819307,2.55385142213137,"MRPL23","6150","mitochondrial ribosomal protein L23","MRPL23","Down"
"ENSG00000163840",2.4980358198592,7.09847060188174,9.76245692099408,4.13223640174129e-05,0.000713401987819307,2.45327269616631,"DTX3L","151636","deltex E3 ubiquitin ligase 3L","DTX3L","Up"
"ENSG00000111249",-5.2499977177525,-2.3983515158008,-9.7617082767672,4.13417401224106e-05,0.000713401987819307,2.33313899904738,"CUX2","23316","cut like homeobox 2","CUX2","Down"
"ENSG00000169896",-1.75653884533495,8.34443504217237,-9.76019947887812,4.1380821841818e-05,0.000713401987819307,2.45670927970497,"ITGAM","3684","integrin subunit alpha M","ITGAM","Down"
