"ensembl_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","gene_label","regulation"
"ENSG00000260325",0.879139590920168,-0.876135627983897,2.29036437558326,0.0587399270502601,0.106138698260418,-4.57231115550101,"HSPB9","94086","heat shock protein family B (small) member 9","HSPB9","Not significant"
"ENSG00000224093",-0.996019438391558,-1.58351018275183,-2.29035884740595,0.058740388981633,0.106138698260418,-4.43728081027157,NA,NA,NA,"ENSG00000224093","Not significant"
"ENSG00000147010",0.404438732421606,5.80184465421524,2.29022110109631,0.0587519001900702,0.106149336277168,-5.54297458991791,"SH3KBP1","30011","SH3 domain containing kinase binding protein 1","SH3KBP1","Not significant"
"ENSG00000213995",0.28787214804022,4.47806269942148,2.29000571693892,0.0587699040953775,0.106171701741984,-5.51967813386516,"NAXD","55739","NAD(P)HX dehydratase","NAXD","Not significant"
"ENSG00000135070",0.44240674974401,3.36001011520013,2.28975892852087,0.0587905400396124,0.106198817422498,-5.39425272587859,"ISCA1","81689","iron-sulfur cluster assembly 1","ISCA1","Not significant"
"ENSG00000134007",1.05211446266622,-1.04921528344949,2.28943557741855,0.0588175892611959,0.106233595647076,-4.56898919813762,"ADAM20","8748","ADAM metallopeptidase domain 20","ADAM20","Not significant"
"ENSG00000259004",0.657816782601834,0.0886281939120896,2.2893942249012,0.0588210494361637,0.106233595647076,-4.76691725419592,"LINC02285","101929422","long intergenic non-protein coding RNA 2285","LINC02285","Not significant"
"ENSG00000241665",-0.939058281852707,-0.475306795014863,-2.28863567572914,0.0588845581907759,0.106338120536825,-4.67717740012349,"RN7SL418P","106480508","RNA, 7SL, cytoplasmic 418, pseudogene","RN7SL418P","Not significant"
"ENSG00000131374",-0.320131513041169,6.25374538357284,-2.28801479673858,0.0589365930469711,0.106421906989532,-5.54240447120441,"TBC1D5","9779","TBC1 domain family member 5","TBC1D5","Not significant"
"ENSG00000204514",-0.494542967160514,3.23535084244493,-2.28755429585599,0.0589752173672864,0.106481464301467,-5.36605770622251,"ZNF814","730051","zinc finger protein 814","ZNF814","Not significant"
"ENSG00000196295",-0.329797349335296,5.06370543372925,-2.2864281246714,0.0590697840344501,0.10664200608802,-5.53612216821765,NA,NA,NA,"ENSG00000196295","Not significant"
"ENSG00000149646",1.10035811517722,-2.3372202566663,2.28622685661372,0.0590867012738831,0.106648262140269,-4.27002553301855,"CNBD2","140894","cyclic nucleotide binding domain containing 2","CNBD2","Not significant"
