"probe_id","symbol_raw","SYMBOL"
"1552701_a_at","CARD16","CARD16"
"1552703_s_at","CARD16///CASP1","CARD16"
"1552705_at","DUSP19","DUSP19"
"1552708_a_at","DUSP19","DUSP19"
"1552711_a_at","CYB5D1","CYB5D1"
"1552712_a_at","NMNAT2","NMNAT2"
"1552713_a_at","SLC4A1","SLC4A1"
"1552714_at","CREG2","CREG2"
"1552715_a_at","RXFP1","RXFP1"
"1552716_at","SPEF2","SPEF2"
"1552717_s_at","CEP170P1///CEP170","CEP170P1"
"1552718_at","DTD1","DTD1"
"1552719_at","CASC4","CASC4"
"1552721_a_at","FGF1","FGF1"
"1552722_at","ARPP21","ARPP21"
"1552724_at","RHOXF1","RHOXF1"
"1552725_s_at","ADAMTS17","ADAMTS17"
"1552726_at","ADAMTS17","ADAMTS17"
"1552727_s_at","ADAMTS17","ADAMTS17"
"1552729_at","SNORA17B///SNORA17A///SNHG7","SNORA17B"
"1552730_at","DHH","DHH"
"1552731_at","ABRA","ABRA"
"1552732_at","ABRA","ABRA"
"1552733_at","KLHDC1","KLHDC1"
"1552734_at","RICTOR","RICTOR"
"1552735_at","PCDHGA4","PCDHGA4"
"1552736_a_at","NETO1","NETO1"
"1552737_s_at","WWP2","WWP2"
"1552738_a_at","ST7L","ST7L"
"1552739_s_at","ST7L","ST7L"
"1552740_at","C2orf15","C2ORF15"
"1552742_at","KCNH8","KCNH8"
"1552743_at","MCF2L","MCF2L"
"1552745_at","SLCO6A1","SLCO6A1"
"1552747_a_at","PP2D1","PP2D1"
"1552749_a_at","KLC3","KLC3"
"1552750_at","CIB3","CIB3"
"1552751_a_at","CIB3","CIB3"
"1552752_a_at","CADM2","CADM2"
"1552754_a_at","CADM2","CADM2"
"1552755_at","C9orf66","C9ORF66"
"1552757_s_at","C9orf66","C9ORF66"
"1552758_at","HDAC9","HDAC9"
"1552760_at","HDAC9","HDAC9"
"1552761_at","SLC16A11","SLC16A11"
"1552763_at","TMEM67","TMEM67"
"1552765_x_at","TMEM67","TMEM67"
"1552766_at","HS6ST2","HS6ST2"
"1552767_a_at","HS6ST2","HS6ST2"
"1552768_at","CAMKK1","CAMKK1"
"1552769_at","ZNF625","ZNF625"
"1552770_s_at","ZNF563","ZNF563"
"1552771_a_at","LIN9","LIN9"
"1552772_at","CLEC4D","CLEC4D"
"1552773_at","CLEC4D","CLEC4D"
"1552774_a_at","SLC25A27","SLC25A27"
"1552775_at","GPRC6A","GPRC6A"
"1552777_a_at","RAET1E","RAET1E"
"1552779_a_at","SLC44A5","SLC44A5"
"1552782_at","SLC44A5","SLC44A5"
"1552783_at","ZNF417","ZNF417"
"1552785_at","ZNF781","ZNF781"
"1552787_at","HELB","HELB"
"1552788_a_at","HELB","HELB"
"1552789_at","SEC62","SEC62"
"1552790_a_at","SEC62","SEC62"
"1552791_a_at","TRDN","TRDN"
"1552792_at","SOCS4","SOCS4"
"1552793_at","C8orf31","C8ORF31"
"1552794_a_at","ZNF547","ZNF547"
"1552796_a_at","SIM1","SIM1"
"1552797_s_at","PROM2","PROM2"
"1552798_a_at","TLR4","TLR4"
"1552799_at","TSNARE1","TSNARE1"
"1552800_at","ABHD11","ABHD11"
"1552801_at","CAPN13","CAPN13"
"1552803_a_at","STMN1","STMN1"
"1552804_a_at","TIRAP","TIRAP"
"1552806_a_at","SIGLEC10","SIGLEC10"
"1552807_a_at","SIGLEC10","SIGLEC10"
"1552808_at","ADAMTSL1","ADAMTSL1"
"1552809_at","RFX4","RFX4"
"1552811_at","WFIKKN1","WFIKKN1"
"1552812_a_at","SENP1","SENP1"
"1552813_at","KLF14","KLF14"
"1552814_a_at","KLF14","KLF14"
"1552816_at","NXNL2","NXNL2"
"1552818_a_at","BRS3","BRS3"
"1552819_at","LINC00205","LINC00205"
"1552822_at","TMX3","TMX3"
"1552825_at","ZNF396","ZNF396"
"1552826_at","SLC26A7","SLC26A7"
"1552827_s_at","SLC26A7","SLC26A7"
"1552828_at","SNX18","SNX18"
"1552830_at","FBXO39","FBXO39"
"1552833_at","B3GNT6","B3GNT6"
"1552834_at","B3GNT6","B3GNT6"
"1552835_at","DENND1B","DENND1B"
"1552836_at","ZNF619","ZNF619"
"1552837_at","ICK","ICK"
"1552839_at","FAM71D","FAM71D"
"1552841_s_at","BCL2L14","BCL2L14"
"1552842_at","HS6ST3","HS6ST3"
"1552843_at","SLC26A1","SLC26A1"
"1552845_at","CLDN15","CLDN15"
"1552846_s_at","RAB42","RAB42"
"1552848_a_at","PTCHD1","PTCHD1"
"1552849_at","M1AP","M1AP"
"1552851_at","ZSCAN4","ZSCAN4"
"1552852_a_at","ZSCAN4","ZSCAN4"
"1552853_at","VWA5B1","VWA5B1"
"1552854_a_at","VWA5B1","VWA5B1"
"1552856_at","LINC00311","LINC00311"
"1552857_a_at","HTR6","HTR6"
"1552858_at","MAGEB6","MAGEB6"
"1552860_at","LOC101930171///LOC101930165///LOC101929858///LOC101060464///TCEB3CL2///TCEB3CL///TCEB3C","LOC101930171"
"1552862_at","RUSC1-AS1","RUSC1-AS1"
"1552863_a_at","CACNG6","CACNG6"
"1552865_a_at","LMNTD1","LMNTD1"
"1552868_at","CIRBP-AS1","CIRBP-AS1"
"1552870_s_at","AXDND1","AXDND1"
"1552872_at","ASMTL-AS1","ASMTL-AS1"
"1552873_s_at","ASMTL-AS1","ASMTL-AS1"
"1552875_a_at","CD200R1","CD200R1"
"1552876_at","LINC00334","LINC00334"
"1552877_s_at","LINC00334","LINC00334"
"1552878_at","ATOH7","ATOH7"
"1552879_a_at","ATOH7","ATOH7"
"1552880_at","SEC16B","SEC16B"
"1552882_a_at","AMER1","AMER1"
"1552884_at","NKX6-3","NKX6-3"
"1552885_a_at","NKX6-3","NKX6-3"
"1552887_at","TBATA","TBATA"
"1552889_a_at","EXOC3L2","EXOC3L2"
"1552890_a_at","CABP4","CABP4"
"1552892_at","TNFRSF13C","TNFRSF13C"
"1552893_at","CAMK2N2","CAMK2N2"
"1552895_a_at","ANKRD30BP2","ANKRD30BP2"
"1552897_a_at","KCNG3","KCNG3"
"1552898_a_at","KCNG3","KCNG3"
"1552899_at","LINC01312","LINC01312"
"1552900_a_at","LINC01312","LINC01312"
"1552902_a_at","FOXP2","FOXP2"
"1552903_at","B4GALNT2","B4GALNT2"
"1552904_at","NETO1","NETO1"
"1552906_at","FMR1NB","FMR1NB"
"1552908_at","GCSAML","GCSAML"
"1552910_at","SIGLEC11","SIGLEC11"
"1552911_at","SIGLEC11","SIGLEC11"
"1552912_a_at","IL23R","IL23R"
"1552913_at","MAGEB18","MAGEB18"
"1552914_a_at","CD276","CD276"
"1552915_at","IFNL2","IFNL2"
"1552917_at","IFNL1","IFNL1"
"1552919_at","C4orf36","C4ORF36"
"1552921_a_at","FIGNL1","FIGNL1"
"1552922_at","RIMS1","RIMS1"
"1552923_a_at","PITPNM2","PITPNM2"
"1552924_a_at","PITPNM2","PITPNM2"
"1552925_at","PCDH10","PCDH10"
"1552927_at","TAB3","TAB3"
"1552928_s_at","TAB3","TAB3"
"1552929_at","GRK7","GRK7"
"1552930_at","MMEL1","MMEL1"
"1552931_a_at","PDE8A","PDE8A"
"1552932_at","NLRP6","NLRP6"
"1552933_at","AKNAD1","AKNAD1"
"1552935_at","ZCCHC5","ZCCHC5"
"1552937_s_at","ATRIP///TREX1","ATRIP"
"1552938_at","ZIC5","ZIC5"
"1552939_at","ANGPT1","ANGPT1"
"1552940_at","TEDDM1","TEDDM1"
"1552942_at","LOC149373","LOC149373"
"1552943_at","GABRG1","GABRG1"
"1552944_a_at","PANX2","PANX2"
"1552946_at","ZNF114","ZNF114"
"1552947_x_at","ZNF114","ZNF114"
"1552948_at","CCDC27","CCDC27"
"1552950_at","CFAP161","CFAP161"
"1552952_at","LOC100652931///RBMY2FP","LOC100652931"
"1552953_a_at","NEUROD2","NEUROD2"
"1552954_at","C5orf17","C5ORF17"
"1552955_at","LINC00208","LINC00208"
"1552957_at","DNAH6","DNAH6"
"1552960_at","LRRC15","LRRC15"
"1552964_at","CFAP46","CFAP46"
"1552965_a_at","B3GNT7","B3GNT7"
"1552967_at","ZNF645","ZNF645"
"1552969_a_at","ZMYM6","ZMYM6"
"1552970_s_at","ZMYM6","ZMYM6"
"1552971_at","SGCZ","SGCZ"
"1552972_at","LOC100507431","LOC100507431"
"1552973_at","WNT9B","WNT9B"
"1552976_at","DNAJB13","DNAJB13"
"1552977_a_at","CNPY3","CNPY3"
"1552978_a_at","SCAMP1","SCAMP1"
"1552979_at","LINC00471","LINC00471"
"1552980_at","HAS3","HAS3"
"1552982_a_at","FGF4","FGF4"
"1552985_at","SLC30A8","SLC30A8"
"1552986_at","LOC142937","LOC142937"
"1552987_a_at","LOC439933","LOC439933"
"1552988_at","C11orf65","C11ORF65"
"1552990_at","FAM71E2","FAM71E2"
"1552991_at","OR5P2","OR5P2"
"1552993_at","DYDC1","DYDC1"
"1552995_at","IL27","IL27"
"1552997_a_at","IQCF1","IQCF1"
"1552998_at","DEFB125","DEFB125"
"1552999_a_at","WFDC10B","WFDC10B"
"1553002_at","DEFB105B///DEFB105A","DEFB105B"
"1553003_at","PKHD1","PKHD1"
"1553004_at","PKD1L1","PKD1L1"
"1553006_at","ADGRG4","ADGRG4"
"1553007_a_at","TENM1","TENM1"
"1553009_s_at","REXO1L1P","REXO1L1P"
"1553011_at","TAF1L","TAF1L"
"1553013_at","CNTNAP5","CNTNAP5"
"1553015_a_at","RECQL4","RECQL4"
"1553016_at","ADGRF3","ADGRF3"
"1553019_at","TMC2","TMC2"
"1553020_at","SMCR5","SMCR5"
"1553021_s_at","BICD2","BICD2"
"1553022_at","ZIM3","ZIM3"
"1553023_a_at","NOX5","NOX5"
"1553024_at","DAOA-AS1","DAOA-AS1"
"1553025_at","ADGRG6","ADGRG6"
"1553027_a_at","KLHL4","KLHL4"
"1553028_at","GPR156","GPR156"
"1553030_a_at","SUOX","SUOX"
"1553031_at","ADGRF4","ADGRF4"
"1553032_at","IL31RA","IL31RA"
"1553033_at","SYTL5","SYTL5"
"1553034_at","SDCCAG8","SDCCAG8"
"1553036_at","ADGRF2","ADGRF2"
"1553037_a_at","SYN2","SYN2"
"1553039_a_at","ASB10","ASB10"
"1553041_at","HTR3C","HTR3C"
"1553042_a_at","NFKBID","NFKBID"
"1553043_a_at","CD300LF","CD300LF"
"1553044_at","GJA10","GJA10"
"1553045_at","WNT9A","WNT9A"
"1553046_s_at","GAL3ST2","GAL3ST2"
"1553047_at","PIP4K2B","PIP4K2B"
"1553048_a_at","PIP4K2B","PIP4K2B"
"1553051_s_at","ODF3","ODF3"
"1553052_at","WFDC13","WFDC13"
"1553053_at","LINC00521","LINC00521"
"1553055_a_at","SLFN5","SLFN5"
"1553057_at","SERPINB12","SERPINB12"
"1553058_at","GIPC3","GIPC3"
"1553059_at","PGLYRP3","PGLYRP3"
"1553060_at","PSKH2","PSKH2"
"1553061_at","OR6W1P","OR6W1P"
"1553062_at","MOGAT1","MOGAT1"
"1553063_at","GPR78","GPR78"
"1553064_at","H1FOO","H1FOO"
"1553066_at","TAAR9","TAAR9"
"1553067_a_at","GNRHR2","GNRHR2"
"1553070_a_at","MYOZ3","MYOZ3"
"1553071_a_at","MYOZ3","MYOZ3"
"1553072_at","BNIPL","BNIPL"
"1553074_at","ASB11","ASB11"
"1553075_a_at","OFCC1","OFCC1"
"1553076_at","OFCC1","OFCC1"
"1553077_at","SDR9C7","SDR9C7"
"1553078_at","OR5P3","OR5P3"
"1553079_at","TRIM40","TRIM40"
"1553080_at","CSN1S2AP","CSN1S2AP"
"1553081_at","WFDC12","WFDC12"
"1553082_at","CRYGN","CRYGN"
"1553084_at","STARD6","STARD6"
"1553086_at","C11orf40","C11ORF40"
"1553087_at","C18orf12","C18ORF12"
"1553088_a_at","BCL2L11","BCL2L11"
"1553089_a_at","WFDC2","WFDC2"
"1553093_a_at","DEFB119","DEFB119"
"1553094_at","FLJ45513///TAC4","FLJ45513"
"1553096_s_at","BCL2L11","BCL2L11"
"1553099_at","TIGD1","TIGD1"
"1553101_a_at","ALKBH5","ALKBH5"
"1553102_a_at","CCDC69","CCDC69"
